code,report_date,announcements_total,correction_count,report_correction_count,report_corrected,correction_titles,scan_error
300429,2019-03-31,23,0,0,False,,
000830,2019-03-31,25,0,0,False,,
002761,2019-03-31,109,6,0,False,重大资产置换及换股吸收合并浙江省建设投资集团股份有限公司暨关联交易报告书（草案）（修订稿）摘要 | 重大资产置换及换股吸收合并浙江省建设投资集团股份有限公司暨关联交易报告书（草案）（修订稿） | 关于重大资产置换及换股吸收合并暨关联交易报告书（草案）的修订情况说明的公告 | 重大资产置换及换股吸收合并浙江省建设投资集团股份有限公司暨关联交易预案（修订稿）摘要 | 重大资产置换及换股吸收合并浙江省建设投资集团股份有限公司暨关联交易预案（修订稿） | 关于重大资产置换及换股吸收合并暨关联交易预案的修订情况说明的公告,
002772,2019-03-31,52,0,0,False,,
002916,2019-03-31,32,2,0,False,关于临时股东大会通知的更正公告 | 公司章程修订对照表,
600444,2019-03-31,8,1,0,False,关于2018年年度股东大会通知的更正公告,
603386,2019-03-31,79,13,1,True,发行股份及支付现金购买资产重大资产重组报告书（草案）（修订稿） | 发行股份及支付现金购买资产重大资产重组报告书（草案）（修订稿）摘要 | 关于发行股份及支付现金购买资产暨关联交易报告书（草案）的修订说明 | 民生证券股份有限公司关于广东骏亚电子科技股份有限公司发行股份及支付现金购买资产暨关联交易之独立财务顾问报告（修订稿） | 民生证券股份有限公司关于广东骏亚电子科技股份有限公司发行股份及支付现金购买资产暨关联交易申请文件反馈意见的回复之核查意见（修订稿） | 关于对《中国证监会行政许可项目审查一次反馈意见通知书》回复修订的公告 | 发行股份及支付现金购买资产暨关联交易申请文件反馈意见中有关财务事项的说明（修订稿） | 关于《中国证监会行政许可项目审查一次反馈意见通知书》的回复（修订稿） | 发行股份及支付现金购买资产暨关联交易报告书（草案）（修订稿） | 发行股份及支付现金购买资产暨关联交易报告书（草案）（修订稿）摘要 | 关于发行股份及支付现金购买资产暨关联交易报告书（草案）的修订说明 | 民生证券股份有限公司关于广东骏亚电子科技股份有限公司发行股份及支付现金购买资产暨关联交易之独立财务顾问报告（修订稿） | 2019年第一季度报告（修订稿）,
002671,2019-03-31,60,1,1,True,关于2019年第一季度报告补充更正公告,
300037,2019-03-31,47,10,0,False,2018年创业板非公开发行A股股票方案论证分析报告（三次修订稿） | 2018年创业板非公开发行A股股票预案（三次修订稿） | 关于非公开发行A股股票预案三次修订情况说明的公告 | 2019年半年度报告及非公开发行预案（三次修订稿）披露提示性公告 | 2018年创业板非公开发行A股股票预案（二次修订稿） | 2018年创业板非公开发行A股股票募集资金使用的可行性分析报告（二次修订稿） | 2018年创业板非公开发行A股股票方案论证分析报告（二次修订稿） | 关于非公开发行A股股票后填补被摊薄即期回报措施（二次修订稿）的公告 | 关于非公开发行A股股票预案二次修订情况说明的公告 | 非公开发行A股股票预案（二次修订稿）披露的提示性公告,
300125,2019-03-31,40,0,0,False,,
300443,2019-03-31,26,0,0,False,,
300610,2019-03-31,65,2,0,False,更正公告 | 更正公告,
603588,2019-03-31,63,0,0,False,,
