report_date,financials_rows,announcement_rows,financials_codes,announcement_codes,matched_codes,financials_only,announcement_only,match_rate,events,codes,report_periods,first_disclosure,last_disclosure,violations,industry_null,panel_events,codes_later_delisted,events_later_delisted,survivorship_flag,st_total,st_flagged,st_basis_sz_history,st_basis_sh_current,st_basis_unknown
2019-03-31,4822,3378,4822,3378,3378,1444,0,0.7005391953546246,91598.0,4953.0,22.0,2019-04-08,2024-08-31,0.0,0.0,91598.0,0.0,0.0,"样本内无后来退市公司: 数据源疑似剔除退市股, 存在幸存者偏差",94636.0,3038.0,53116.0,41520.0,0.0
2019-06-30,9308,3424,9308,3424,3424,5884,0,0.36785560807907175,,,,,,,,,,,,,,,,
2019-09-30,5270,3472,5270,3472,3472,1798,0,0.6588235294117647,,,,,,,,,,,,,,,,
2019-12-31,10589,3580,10589,3580,3580,7009,0,0.3380866937387855,,,,,,,,,,,,,,,,
2020-03-31,5096,3606,5096,3606,3606,1490,0,0.707613814756672,,,,,,,,,,,,,,,,
2020-06-30,9841,3712,9841,3712,3712,6129,0,0.37719743928462557,,,,,,,,,,,,,,,,
2020-09-30,5561,3847,5561,3847,3847,1714,0,0.6917820535874842,,,,,,,,,,,,,,,,
2020-12-31,10857,4050,10857,4050,4050,6807,0,0.3730312240950539,,,,,,,,,,,,,,,,
2021-03-31,5583,4072,5583,4072,4072,1511,0,0.7293569765359126,,,,,,,,,,,,,,,,
2021-06-30,10258,4236,10258,4236,4236,6022,0,0.4129459933710275,,,,,,,,,,,,,,,,
2021-09-30,6013,4322,6013,4322,4322,1691,0,0.7187759853650424,,,,,,,,,,,,,,,,
2021-12-31,11085,4490,11085,4490,4490,6595,0,0.4050518718989626,,,,,,,,,,,,,,,,
2022-03-31,5931,4516,5931,4516,4516,1415,0,0.7614230315292531,,,,,,,,,,,,,,,,
2022-06-30,10716,4613,10716,4613,4613,6103,0,0.4304777902202314,,,,,,,,,,,,,,,,
2022-09-30,6040,4697,6040,4697,4697,1343,0,0.7776490066225166,,,,,,,,,,,,,,,,
2022-12-31,11421,4808,11421,4808,4808,6613,0,0.42097889852026965,,,,,,,,,,,,,,,,
2023-03-31,5887,4828,5887,4828,4828,1059,0,0.8201121114319687,,,,,,,,,,,,,,,,
2023-06-30,10936,4935,10936,4935,4935,6001,0,0.4512618873445501,,,,,,,,,,,,,,,,
2023-09-30,5935,4971,5935,4971,4971,964,0,0.8375737152485256,,,,,,,,,,,,,,,,
2023-12-31,11636,5019,11636,5019,5019,6617,0,0.43133379168099,,,,,,,,,,,,,,,,
2024-03-31,5896,5022,5896,5022,5022,874,0,0.851763907734057,,,,,,,,,,,,,,,,
2024-06-30,11294,5038,11294,5038,5038,6256,0,0.4460775633079511,,,,,,,,,,,,,,,,
