code,error
605069,"DataSourceError: stock_financial_abstract_ths({'symbol': '605069', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605068,"DataSourceError: stock_financial_abstract_ths({'symbol': '605068', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605066,"DataSourceError: stock_financial_abstract_ths({'symbol': '605066', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605060,"DataSourceError: stock_financial_abstract_ths({'symbol': '605060', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605088,"DataSourceError: stock_financial_abstract_ths({'symbol': '605088', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605080,"DataSourceError: stock_financial_abstract_ths({'symbol': '605080', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605077,"DataSourceError: stock_financial_abstract_ths({'symbol': '605077', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605086,"DataSourceError: stock_financial_abstract_ths({'symbol': '605086', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605098,"DataSourceError: stock_financial_abstract_ths({'symbol': '605098', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605099,"DataSourceError: stock_financial_abstract_ths({'symbol': '605099', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605089,"DataSourceError: stock_financial_abstract_ths({'symbol': '605089', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605090,"DataSourceError: stock_financial_abstract_ths({'symbol': '605090', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605100,"DataSourceError: stock_financial_abstract_ths({'symbol': '605100', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605116,"DataSourceError: stock_financial_abstract_ths({'symbol': '605116', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605111,"DataSourceError: stock_financial_abstract_ths({'symbol': '605111', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605108,"DataSourceError: stock_financial_abstract_ths({'symbol': '605108', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605118,"DataSourceError: stock_financial_abstract_ths({'symbol': '605118', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605123,"DataSourceError: stock_financial_abstract_ths({'symbol': '605123', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605122,"DataSourceError: stock_financial_abstract_ths({'symbol': '605122', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605117,"DataSourceError: stock_financial_abstract_ths({'symbol': '605117', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605128,"DataSourceError: stock_financial_abstract_ths({'symbol': '605128', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605138,"DataSourceError: stock_financial_abstract_ths({'symbol': '605138', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605136,"DataSourceError: stock_financial_abstract_ths({'symbol': '605136', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605133,"DataSourceError: stock_financial_abstract_ths({'symbol': '605133', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605151,"DataSourceError: stock_financial_abstract_ths({'symbol': '605151', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605158,"DataSourceError: stock_financial_abstract_ths({'symbol': '605158', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605155,"DataSourceError: stock_financial_abstract_ths({'symbol': '605155', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605162,"DataSourceError: stock_financial_abstract_ths({'symbol': '605162', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605169,"DataSourceError: stock_financial_abstract_ths({'symbol': '605169', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605168,"DataSourceError: stock_financial_abstract_ths({'symbol': '605168', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605166,"DataSourceError: stock_financial_abstract_ths({'symbol': '605166', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605167,"DataSourceError: stock_financial_abstract_ths({'symbol': '605167', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605180,"DataSourceError: stock_financial_abstract_ths({'symbol': '605180', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605178,"DataSourceError: stock_financial_abstract_ths({'symbol': '605178', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605177,"DataSourceError: stock_financial_abstract_ths({'symbol': '605177', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605179,"DataSourceError: stock_financial_abstract_ths({'symbol': '605179', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605186,"DataSourceError: stock_financial_abstract_ths({'symbol': '605186', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605183,"DataSourceError: stock_financial_abstract_ths({'symbol': '605183', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605188,"DataSourceError: stock_financial_abstract_ths({'symbol': '605188', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605189,"DataSourceError: stock_financial_abstract_ths({'symbol': '605189', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605196,"DataSourceError: stock_financial_abstract_ths({'symbol': '605196', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605198,"DataSourceError: stock_financial_abstract_ths({'symbol': '605198', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605218,"DataSourceError: stock_financial_abstract_ths({'symbol': '605218', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605208,"DataSourceError: stock_financial_abstract_ths({'symbol': '605208', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605228,"DataSourceError: stock_financial_abstract_ths({'symbol': '605228', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605222,"DataSourceError: stock_financial_abstract_ths({'symbol': '605222', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605255,"DataSourceError: stock_financial_abstract_ths({'symbol': '605255', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605258,"DataSourceError: stock_financial_abstract_ths({'symbol': '605258', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605259,"DataSourceError: stock_financial_abstract_ths({'symbol': '605259', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605266,"DataSourceError: stock_financial_abstract_ths({'symbol': '605266', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605277,"DataSourceError: stock_financial_abstract_ths({'symbol': '605277', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605268,"DataSourceError: stock_financial_abstract_ths({'symbol': '605268', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
605286,"DataSourceError: stock_financial_abstract_ths({'symbol': '605286', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
