signal,horizon,group_type,group,ic,n_obs
sue,1,report_period,2019-03-31,0.06492134240893464,3255
sue,1,report_period,2019-06-30,0.0016980272634746284,3280
sue,1,report_period,2019-09-30,0.022744660867511424,3315
sue,1,report_period,2019-12-31,0.006002333408881777,3367
sue,1,report_period,2020-03-31,0.06928208182871018,3396
sue,1,report_period,2020-06-30,0.02496087825623741,3469
sue,1,report_period,2020-09-30,-0.0209083392381269,3569
sue,1,report_period,2020-12-31,0.03809053533845767,3677
sue,1,report_period,2021-03-31,0.07429242984901124,3740
sue,1,report_period,2021-06-30,0.015195166994242872,3889
sue,1,report_period,2021-09-30,-0.06714185078864479,3963
sue,1,report_period,2021-12-31,-0.011817131497323705,4115
sue,1,report_period,2022-03-31,0.07095650422579024,4155
sue,1,report_period,2022-06-30,-0.03500456615156639,4237
sue,1,report_period,2022-09-30,-0.05181747022338071,4310
sue,1,report_period,2022-12-31,-0.008421902192219366,4428
sue,1,report_period,2023-03-31,0.08320559038055315,4475
sue,1,report_period,2023-06-30,-0.03150694954723229,4581
sue,1,report_period,2023-09-30,-0.03628715845370261,4626
sue,1,report_period,2023-12-31,-0.03609858034776994,4678
sue,1,report_period,2024-03-31,0.04892937561354882,4685
sue,1,report_period,2024-06-30,-0.018782750811252535,4694
sue,5,report_period,2019-03-31,0.0323258267880469,3255
sue,5,report_period,2019-06-30,0.015318248770554377,3280
sue,5,report_period,2019-09-30,0.08595158789501665,3315
sue,5,report_period,2019-12-31,-0.012918529726747546,3367
sue,5,report_period,2020-03-31,0.08392406816497493,3396
sue,5,report_period,2020-06-30,-0.04178727544218661,3469
sue,5,report_period,2020-09-30,-0.06198581385694434,3569
sue,5,report_period,2020-12-31,-0.0449152110477702,3677
sue,5,report_period,2021-03-31,0.0568509035285267,3740
sue,5,report_period,2021-06-30,-0.017845966750015086,3889
sue,5,report_period,2021-09-30,-0.17082706955992594,3963
sue,5,report_period,2021-12-31,-0.0905871625351332,4115
sue,5,report_period,2022-03-31,0.02640786650350323,4155
sue,5,report_period,2022-06-30,-0.03945224263357843,4237
sue,5,report_period,2022-09-30,-0.08122946675198923,4310
sue,5,report_period,2022-12-31,-0.044287476507583204,4428
sue,5,report_period,2023-03-31,0.02654451353760501,4475
sue,5,report_period,2023-06-30,-0.07003437004824462,4581
sue,5,report_period,2023-09-30,-0.14487387584053607,4626
sue,5,report_period,2023-12-31,-0.07441437244704502,4678
sue,5,report_period,2024-03-31,0.036871576656325004,4685
sue,5,report_period,2024-06-30,-0.023853245147242286,4693
sue,10,report_period,2019-03-31,0.03776596466570206,3255
sue,10,report_period,2019-06-30,-0.032394539809451985,3280
sue,10,report_period,2019-09-30,0.06400304720285802,3315
sue,10,report_period,2019-12-31,-0.018326790112996465,3367
sue,10,report_period,2020-03-31,0.07442246680579745,3396
sue,10,report_period,2020-06-30,-0.07291289059517009,3469
sue,10,report_period,2020-09-30,-0.10027426208381468,3569
sue,10,report_period,2020-12-31,-0.0837114703734566,3677
sue,10,report_period,2021-03-31,0.051652277977343265,3740
sue,10,report_period,2021-06-30,0.007126461392683773,3889
sue,10,report_period,2021-09-30,-0.22506511891265435,3963
sue,10,report_period,2021-12-31,-0.08529799136033431,4115
sue,10,report_period,2022-03-31,0.013775919433363369,4155
sue,10,report_period,2022-06-30,-0.029737289518586188,4237
sue,10,report_period,2022-09-30,-0.12324682186696671,4310
sue,10,report_period,2022-12-31,-0.0572905843803583,4428
sue,10,report_period,2023-03-31,-0.026695634465542125,4475
sue,10,report_period,2023-06-30,-0.09646309880020165,4581
sue,10,report_period,2023-09-30,-0.15293782887381033,4626
sue,10,report_period,2023-12-31,-0.01638743900731682,4678
sue,10,report_period,2024-03-31,0.10096327907370259,4685
sue,10,report_period,2024-06-30,-0.008194085096152244,4693
sue,20,report_period,2019-03-31,0.045939617724540825,3255
sue,20,report_period,2019-06-30,0.013317913771334133,3280
sue,20,report_period,2019-09-30,0.0256707973924263,3315
sue,20,report_period,2019-12-31,-0.04779831225502805,3367
sue,20,report_period,2020-03-31,0.018719099339085016,3396
sue,20,report_period,2020-06-30,-0.044418228343528966,3469
sue,20,report_period,2020-09-30,-0.0944429579174687,3568
sue,20,report_period,2020-12-31,-0.10024312584119363,3677
sue,20,report_period,2021-03-31,0.026461500468848206,3740
sue,20,report_period,2021-06-30,0.013197504330062195,3889
sue,20,report_period,2021-09-30,-0.13162076636466713,3963
sue,20,report_period,2021-12-31,-0.0999508789237973,4115
sue,20,report_period,2022-03-31,0.0039054965845363096,4154
sue,20,report_period,2022-06-30,0.013309955222203615,4237
sue,20,report_period,2022-09-30,-0.13020084511534527,4310
sue,20,report_period,2022-12-31,-0.04940990691419333,4428
sue,20,report_period,2023-03-31,-0.0471904611578748,4475
sue,20,report_period,2023-06-30,-0.06983636727857268,4581
sue,20,report_period,2023-09-30,-0.08841394715765737,4626
sue,20,report_period,2023-12-31,-0.015464926116963349,4678
sue,20,report_period,2024-03-31,0.10804166234777636,4685
sue,20,report_period,2024-06-30,-0.14647325091408273,4694
sue,40,report_period,2019-03-31,0.07267983077369827,3255
sue,40,report_period,2019-06-30,0.10589542852763549,3280
sue,40,report_period,2019-09-30,-0.009710423511879734,3315
sue,40,report_period,2019-12-31,-0.04619991193317046,3365
sue,40,report_period,2020-03-31,0.08655007377911468,3396
sue,40,report_period,2020-06-30,-0.0042274075215697786,3469
sue,40,report_period,2020-09-30,0.02436652657645162,3569
sue,40,report_period,2020-12-31,-0.06870966947597767,3677
sue,40,report_period,2021-03-31,0.06825246905282706,3740
sue,40,report_period,2021-06-30,-0.03149087769253723,3889
sue,40,report_period,2021-09-30,-0.19889654964704978,3963
