signal,horizon,quantile,mean_return,n_periods,n_obs,monotonic
sue,1,1,4.3625312015462475e-05,22,17587,False
sue,1,2,0.0006527157219217576,22,17585,False
sue,1,3,0.0013491624247735819,22,17583,False
sue,1,4,0.0009493996846268619,22,17565,False
sue,1,5,0.0010565121713105763,22,17584,False
sue,5,1,0.01125605123611942,22,17587,False
sue,5,2,0.012275199607401392,22,17584,False
sue,5,3,0.011501868704588207,22,17584,False
sue,5,4,0.009478182402421237,22,17564,False
sue,5,5,0.008108207098266915,22,17584,False
sue,10,1,0.017673059668020377,22,17587,False
sue,10,2,0.017604852861786216,22,17584,False
sue,10,3,0.016250695103842683,22,17584,False
sue,10,4,0.01277458642405465,22,17564,False
sue,10,5,0.011084072201799315,22,17584,False
sue,20,1,0.028758747600290634,22,17587,False
sue,20,2,0.026344495865543726,22,17584,False
sue,20,3,0.02339544957087145,22,17583,False
sue,20,4,0.020145387238859745,22,17564,False
sue,20,5,0.01744751179387306,22,17584,False
sue,40,1,0.0424070513961142,22,17586,False
sue,40,2,0.04134426484222609,22,17584,False
sue,40,3,0.04127653244491319,22,17583,False
sue,40,4,0.0363234659339357,22,17564,False
sue,40,5,0.036193547723745396,22,17583,False
sue,60,1,0.05560847591090685,22,16694,False
sue,60,2,0.056917323242709414,22,16693,False
sue,60,3,0.05591886865226772,22,16692,False
sue,60,4,0.053699586950760166,22,16673,False
sue,60,5,0.053219900249562115,22,16692,False
sue_w,1,1,4.3625312015462475e-05,22,17587,False
sue_w,1,2,0.0006527157219217576,22,17585,False
sue_w,1,3,0.0013491624247735819,22,17583,False
sue_w,1,4,0.0009493996846268619,22,17565,False
sue_w,1,5,0.0010565121713105763,22,17584,False
sue_w,5,1,0.01125605123611942,22,17587,False
sue_w,5,2,0.012275199607401392,22,17584,False
sue_w,5,3,0.011501868704588207,22,17584,False
sue_w,5,4,0.009478182402421237,22,17564,False
sue_w,5,5,0.008108207098266915,22,17584,False
sue_w,10,1,0.017673059668020377,22,17587,False
sue_w,10,2,0.017604852861786216,22,17584,False
sue_w,10,3,0.016250695103842683,22,17584,False
sue_w,10,4,0.01277458642405465,22,17564,False
sue_w,10,5,0.011084072201799315,22,17584,False
sue_w,20,1,0.028758747600290634,22,17587,False
sue_w,20,2,0.026344495865543726,22,17584,False
sue_w,20,3,0.02339544957087145,22,17583,False
sue_w,20,4,0.020145387238859745,22,17564,False
sue_w,20,5,0.01744751179387306,22,17584,False
sue_w,40,1,0.0424070513961142,22,17586,False
sue_w,40,2,0.04134426484222609,22,17584,False
sue_w,40,3,0.04127653244491319,22,17583,False
sue_w,40,4,0.0363234659339357,22,17564,False
sue_w,40,5,0.036193547723745396,22,17583,False
sue_w,60,1,0.05560847591090685,22,16694,False
sue_w,60,2,0.056917323242709414,22,16693,False
sue_w,60,3,0.05591886865226772,22,16692,False
sue_w,60,4,0.053699586950760166,22,16673,False
sue_w,60,5,0.053219900249562115,22,16692,False
sue_z,1,1,4.3625312015462475e-05,22,17587,False
sue_z,1,2,0.0006527157219217576,22,17585,False
sue_z,1,3,0.0013491624247735819,22,17583,False
sue_z,1,4,0.0009493996846268619,22,17565,False
sue_z,1,5,0.0010565121713105763,22,17584,False
sue_z,5,1,0.01125605123611942,22,17587,False
sue_z,5,2,0.012275199607401392,22,17584,False
sue_z,5,3,0.011501868704588207,22,17584,False
sue_z,5,4,0.009478182402421237,22,17564,False
sue_z,5,5,0.008108207098266915,22,17584,False
sue_z,10,1,0.017673059668020377,22,17587,False
sue_z,10,2,0.017604852861786216,22,17584,False
sue_z,10,3,0.016250695103842683,22,17584,False
sue_z,10,4,0.01277458642405465,22,17564,False
sue_z,10,5,0.011084072201799315,22,17584,False
sue_z,20,1,0.028758747600290634,22,17587,False
sue_z,20,2,0.026344495865543726,22,17584,False
sue_z,20,3,0.02339544957087145,22,17583,False
sue_z,20,4,0.020145387238859745,22,17564,False
sue_z,20,5,0.01744751179387306,22,17584,False
sue_z,40,1,0.0424070513961142,22,17586,False
sue_z,40,2,0.04134426484222609,22,17584,False
sue_z,40,3,0.04127653244491319,22,17583,False
sue_z,40,4,0.0363234659339357,22,17564,False
sue_z,40,5,0.036193547723745396,22,17583,False
sue_z,60,1,0.05560847591090685,22,16694,False
sue_z,60,2,0.056917323242709414,22,16693,False
sue_z,60,3,0.05591886865226772,22,16692,False
sue_z,60,4,0.053699586950760166,22,16673,False
sue_z,60,5,0.053219900249562115,22,16692,False
sue_ind_neutral,1,1,0.000299372130866645,22,17587,False
sue_ind_neutral,1,2,0.0006593003194999069,22,17578,False
sue_ind_neutral,1,3,0.0009316970918294867,22,17577,False
sue_ind_neutral,1,4,0.0011002319286961845,22,17582,False
sue_ind_neutral,1,5,0.0010600678813005504,22,17580,False
sue_ind_neutral,5,1,0.011282126068104184,22,17587,False
sue_ind_neutral,5,2,0.011464079044623064,22,17577,False
sue_ind_neutral,5,3,0.009959742075708784,22,17578,False
sue_ind_neutral,5,4,0.010847513348014072,22,17581,False
sue_ind_neutral,5,5,0.009073535866236222,22,17580,False
sue_ind_neutral,10,1,0.01680833516120967,22,17587,False
sue_ind_neutral,10,2,0.016887657911452067,22,17577,False
sue_ind_neutral,10,3,0.014514053963913913,22,17578,False
sue_ind_neutral,10,4,0.014279528996821462,22,17581,False
sue_ind_neutral,10,5,0.012906005599181515,22,17580,False
sue_ind_neutral,20,1,0.02760754160461741,22,17587,False
sue_ind_neutral,20,2,0.02464551397200214,22,17577,False
sue_ind_neutral,20,3,0.022325846138647066,22,17577,False
sue_ind_neutral,20,4,0.021742223548184784,22,17582,False
sue_ind_neutral,20,5,0.019774276517154035,22,17579,False
sue_ind_neutral,40,1,0.04151090711900573,22,17586,False
sue_ind_neutral,40,2,0.03971724677510225,22,17577,False
sue_ind_neutral,40,3,0.03909243444012501,22,17577,False
sue_ind_neutral,40,4,0.03855390618564907,22,17581,False
sue_ind_neutral,40,5,0.038673679947927614,22,17579,False
sue_ind_neutral,60,1,0.05671552097074284,22,16694,False
sue_ind_neutral,60,2,0.05000233285715898,22,16686,False
sue_ind_neutral,60,3,0.056221740961397544,22,16686,False
sue_ind_neutral,60,4,0.05611748622365836,22,16690,False
sue_ind_neutral,60,5,0.05632530446593176,22,16688,False
sue_neutral,1,1,0.0003072759235753715,22,17587,True
sue_neutral,1,2,0.00043163782315050833,22,17577,True
sue_neutral,1,3,0.0010628910436664143,22,17577,True
