dimension,variant,signal,horizon,top_pct,aum,n_cohorts,n_events_used,n_names_mean,gross_annual_return,net_annual_return,gross_sharpe,net_sharpe,net_max_drawdown,benchmark_annual_return,tracking_error,information_ratio,net_information_ratio,mean_cost,hit_rate_active,capacity_median
baseline,baseline,sue,20.0,0.2,100000000.0,51.0,87892.0,345.0,0.0204152506724109,-0.06057299805571814,0.19766805664970719,-0.21278134959906636,-0.4147594318847124,0.12890364449508596,0.0709466514579315,-1.4958225789468471,-2.4721950297580757,0.006833119649219208,0.29411764705882354,488695465.95500004
aum,AUM=1e+07,,,,10000000.0,51.0,87892.0,345.0,0.0204152506724109,-0.023073705754066087,0.19766805664970719,-0.021335017541052485,-0.3199866797311218,0.12890364449508596,0.0709466514579315,-1.4958225789468471,-2.0236300687475928,0.0036252159098280035,0.29411764705882354,488695465.95500004
aum,AUM=1e+08,,,,100000000.0,51.0,87892.0,345.0,0.0204152506724109,-0.06057299805571814,0.19766805664970719,-0.21278134959906636,-0.4147594318847124,0.12890364449508596,0.0709466514579315,-1.4958225789468471,-2.4721950297580757,0.006833119649219208,0.29411764705882354,488695465.95500004
aum,AUM=1e+09,,,,1000000000.0,51.0,87892.0,345.0,0.0204152506724109,-0.1271846328714803,0.19766805664970719,-0.5705811148280183,-0.5580560620679762,0.12890364449508596,0.0709466514579315,-1.4958225789468471,-3.4495391533538124,0.012878563282493285,0.29411764705882354,488695465.95500004
cost,double_cost,,,,100000000.0,51.0,87892.0,345.0,0.0204152506724109,-0.13595264522311945,0.19766805664970719,-0.6091602509442495,-0.5752051850475555,0.12890364449508596,0.0709466514579315,-1.4958225789468471,-3.167362824428599,0.013666239298438417,0.29411764705882354,488695465.95500004
horizon,h=1,,1.0,,,51.0,87894.0,345.0,0.0159014115098306,-0.06433885552514862,0.5475736586244533,-1.9974265109825171,-0.2511778811910643,0.028832463588747137,0.017648617923344306,-0.7163065749984532,-3.3445922920331905,0.006833119649219208,0.37254901960784315,488695465.95500004
horizon,h=5,,5.0,,,51.0,87893.0,345.0,0.0746211634296643,-0.00990008799655806,0.9175550998237633,-0.07766162196474503,-0.10435961906649627,0.13194970567375774,0.04549442838706878,-1.1533630179411385,-2.604245381336862,0.006833119649219208,0.3137254901960784,488695465.95500004
horizon,h=10,,10.0,,,51.0,87893.0,345.0,0.04887269695917995,-0.033720014803835574,0.5199980060732892,-0.28595753374998223,-0.14737108041012448,0.1349268430633468,0.06800195478534346,-1.180141773361064,-2.3529396811210814,0.006833119649219208,0.23529411764705882,488695465.95500004
horizon,h=20,,20.0,,,51.0,87892.0,345.0,0.0204152506724109,-0.06057299805571814,0.19766805664970719,-0.21278134959906636,-0.4147594318847124,0.12890364449508596,0.0709466514579315,-1.4958225789468471,-2.4721950297580757,0.006833119649219208,0.29411764705882354,488695465.95500004
horizon,h=40,,40.0,,,51.0,87890.0,345.0,0.12535894639380163,0.03627755312903891,0.515381680531678,0.25891090669653005,-0.5674529017687304,0.23326641636997136,0.11544366452719015,-0.8726198512610167,-1.5541611379884321,0.00683313527590449,0.35294117647058826,488695465.95500004
horizon,h=60,,60.0,,,50.0,83434.0,334.06,0.18079478755366174,0.08555591622800773,0.6452734209902828,0.40102968182229576,-0.49788549859866804,0.28871415360034014,0.14975542679389622,-0.6720354955598776,-1.1852045845537778,0.006991482748939175,0.46,482843170.1485
signal,sue,sue,,,,51.0,87892.0,345.0,0.0204152506724109,-0.06057299805571814,0.19766805664970719,-0.21278134959906636,-0.4147594318847124,0.12890364449508596,0.0709466514579315,-1.4958225789468471,-2.4721950297580757,0.006833119649219208,0.29411764705882354,488695465.95500004
signal,sue_z,sue_z,,,,51.0,87892.0,345.0,0.033995602716206275,-0.04795001899763751,0.26334537076155523,-0.14174549605563766,-0.3806010858429685,0.12890364449508596,0.07091483330320805,-1.302374579177297,-2.2726706775094554,0.006826203131257792,0.3137254901960784,488695465.95500004
signal,sue_ind_neutral,sue_ind_neutral,,,,51.0,87892.0,345.0,0.03861563536654855,-0.04796987707035427,0.2835576820674625,-0.13520467145639914,-0.38957101720443543,0.12890364449508596,0.06937830423213551,-1.2608832303157564,-2.2955533148770955,0.00717182652510264,0.37254901960784315,363237831.63000005
signal,sue_neutral,sue_neutral,,,,51.0,87890.0,345.0,0.024130788382606738,-0.06504221215531591,0.21402002055970243,-0.20213669270294202,-0.4430185702845727,0.12896248051191006,0.06473109491827675,-1.5454174541566223,-2.4544296203639875,0.007458188917464146,0.3137254901960784,364413326.0400001
