序号,股票代码,报告期,首次预约日,实际披露日,入场日,披露日当时简称,当前简称,当时ST,每股收益,营业总收入,净利润,公告查询,巨潮检索,①披露日是否正确(填Y/N),②备注/差异说明
1,300266,2019-06-30,2019-08-28,2019-08-13,2019-08-14,兴源环境,兴源环境,False,0.02,805485518.86,25782832.57,https://data.eastmoney.com/notices/stock/300266.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=兴源环境,,
2,600787,2019-06-30,2019-08-30,2019-08-30,2019-09-02,中储股份,中储股份,False,0.0753,21354158503.32,164424785.25,https://data.eastmoney.com/notices/stock/600787.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=中储股份,,
3,300506,2019-06-30,2019-08-30,2019-08-30,2019-09-02,名家汇,名家汇,False,0.57,706070718.81,195471707.56,https://data.eastmoney.com/notices/stock/300506.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=名家汇,,
4,002141,2019-09-30,2019-10-26,2019-10-26,2019-10-28,贤丰控股,贤丰控股,False,-0.0078,711562526.22,-8802235.86,https://data.eastmoney.com/notices/stock/002141.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=贤丰控股,,
5,603917,2019-12-31,2020-04-16,2020-04-16,2020-04-17,合力科技,合力科技,False,0.4841,610967607.07,75901269.49,https://data.eastmoney.com/notices/stock/603917.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=合力科技,,
6,600409,2019-12-31,2020-04-18,2020-04-25,2020-04-27,三友化工,三友化工,False,0.3308,20515134749.91,682915734.42,https://data.eastmoney.com/notices/stock/600409.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=三友化工,,
7,603387,2020-03-31,2020-04-30,2020-04-30,2020-05-06,基蛋生物,基蛋生物,False,0.12,148162241.23,43247242.43,https://data.eastmoney.com/notices/stock/603387.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=基蛋生物,,
8,002299,2020-06-30,2020-07-22,2020-07-22,2020-07-23,圣农发展,圣农发展,False,1.0748,6500321838.38,1332208363.79,https://data.eastmoney.com/notices/stock/002299.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=圣农发展,,
9,300021,2020-06-30,2020-08-25,2020-08-25,2020-08-26,大禹节水,大禹节水,False,0.034,732702118.95,27081693.96,https://data.eastmoney.com/notices/stock/300021.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=大禹节水,,
10,002371,2020-06-30,2020-08-31,2020-08-31,2020-09-01,北方华创,北方华创,False,0.3735,2176996774.42,184077524.43,https://data.eastmoney.com/notices/stock/002371.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=北方华创,,
11,300537,2020-09-30,2020-10-29,2020-10-29,2020-10-30,广信材料,广信材料,False,0.06,513140030.23,12243506.9,https://data.eastmoney.com/notices/stock/300537.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=广信材料,,
12,601099,2020-09-30,2020-10-31,2020-10-31,2020-11-02,太平洋,太平洋,False,0.015,798365671.02,99173430.39,https://data.eastmoney.com/notices/stock/601099.html,http://www.cninfo.com.cn/new/fulltextSearch?keyWord=太平洋,,
